"avg_delivery_delay_days","avg_review_score"
"8.07","5.0"
"21.32","4.0"
"7.90","5.0"
"11.45","4.0"
"14.31","4.0"
"3.93","5.0"
"7.25","4.0"
"15.07","3.0"
"5.96","5.0"
"24.48","3.0"
"14.13","5.0"
"28.16","5.0"
"4.94","5.0"
"2.52","3.0"
"6.90","5.0"
"2.31","5.0"
"11.87","4.0"
"24.90","5.0"
"5.27","5.0"
"10.10","5.0"
"19.06","4.0"
"4.07","4.0"
"6.08","5.0"
"2.48","5.0"
"14.22","5.0"
"4.81","4.0"
"9.76","5.0"
"9.11","4.0"
"14.94","4.0"
"7.06","5.0"
"11.29","4.0"
"4.71","2.0"
"13.38","4.0"
"4.56","4.0"
"36.85","1.0"
"17.05","5.0"
"6.49","5.0"
"11.27","5.0"
"35.14","5.0"
"8.18","4.0"
"14.21","3.0"
"25.17","1.0"
"9.10","5.0"
"2.54","5.0"
"5.20","5.0"
"12.62","5.0"
"12.09","3.0"
"9.04","5.0"
"8.95","5.0"
"20.13","4.0"
"62.39","5.0"
"14.37","5.0"
"4.37","5.0"
"14.53","5.0"
"41.18","1.0"
"16.71","5.0"
"6.78","3.0"
"6.00","5.0"
"18.81","5.0"
"12.12","3.0"
"15.35","4.0"
"8.23","5.0"
"14.03","5.0"
"19.97","4.0"
"7.32","5.0"
"7.35","5.0"
"7.80","4.0"
"10.07","4.0"
"7.98","5.0"
"14.00","4.0"
"7.29","3.0"
"36.13","4.0"
"11.26","4.0"
"6.89","5.0"
"10.85","4.0"
"17.99","3.0"
"17.94","4.0"
"6.82","3.0"
"8.38","5.0"
"11.87","5.0"
"6.08","5.0"
"4.39","5.0"
"12.62","3.0"
"8.92","5.0"
"9.98","3.0"
"20.58","1.0"
"7.34","4.0"
"7.88","5.0"
"9.50","1.0"
"21.97","4.0"
"5.24","5.0"
"15.11","2.0"
"4.25","5.0"
"7.31","5.0"
"12.88","5.0"
"4.32","4.0"
"14.57","1.0"
"10.07","5.0"
"26.11","4.0"
"11.95","3.0"
"8.28","4.0"
"2.65","5.0"
"7.12","5.0"
"7.44","5.0"
"19.51","5.0"
"15.10","2.0"
"5.55","3.0"
"36.32","3.0"
"8.34","5.0"
"6.46","5.0"
"22.95","5.0"
"12.34","5.0"
"4.61","5.0"
"3.21","5.0"
"20.20","5.0"
"5.40","5.0"
"17.21","4.0"
"19.70","5.0"
"6.13","5.0"
"6.11","5.0"
"30.98","2.0"
"3.89","4.0"
"9.08","4.0"
"5.02","5.0"
"8.24","5.0"
"7.14","4.0"
"10.18","5.0"
"5.84","1.0"
"2.25","5.0"
"26.03","3.0"
"6.19","5.0"
"11.29","5.0"
"2.23","5.0"
"11.24","5.0"
"26.36","5.0"
"4.22","4.0"
"21.37","3.0"
"28.04","4.0"
"12.27","4.0"
"13.25","5.0"
"12.23","5.0"
"9.95","2.0"
"8.40","5.0"
"6.20","1.0"
"12.67","4.0"
"7.68","4.0"
"16.13","5.0"
"5.37","5.0"
"1.99","5.0"
"70.39","1.0"
"18.21","4.0"
"3.18","5.0"
"9.10","3.0"
"6.44","5.0"
"3.01","4.0"
"7.74","5.0"
"1.23","5.0"
"7.99","4.0"
"8.02","5.0"
"13.12","5.0"
"19.07","5.0"
"8.81","4.0"
"10.57","5.0"
"19.10","1.0"
