"freight_cost","avg_review_score"
"72.34","5.00"
"5.47","5.00"
"130.18","5.00"
"33.74","5.00"
"143.67","5.00"
"110.56","5.00"
"47.64","5.00"
"51.56","5.00"
"67.85","5.00"
"90.57","5.00"
"48.82","5.00"
"56.96","5.00"
"31.74","5.00"
"194.22","5.00"
"51.54","5.00"
"40.01","5.00"
"101.09","5.00"
"146.21","5.00"
"200.49","5.00"
"6.30","5.00"
"88.35","5.00"
"40.41","5.00"
"42.36","5.00"
"85.27","5.00"
"71.48","5.00"
"77.80","5.00"
"111.47","5.00"
"40.05","5.00"
"161.82","5.00"
"32.51","5.00"
"174.95","5.00"
"74.51","5.00"
"41.90","5.00"
"55.16","5.00"
"89.38","5.00"
"82.17","5.00"
"60.18","5.00"
"66.65","5.00"
"55.64","5.00"
"88.32","5.00"
"101.19","5.00"
"101.78","5.00"
"32.69","5.00"
"62.41","5.00"
"86.79","5.00"
"97.90","5.00"
"63.07","5.00"
"0.53","5.00"
"65.50","5.00"
"65.56","5.00"
"175.55","5.00"
"54.97","5.00"
"113.38","5.00"
"59.59","5.00"
"93.42","5.00"
"52.77","5.00"
"37.22","5.00"
"101.30","5.00"
"62.73","5.00"
"39.86","5.00"
"36.33","5.00"
"74.49","5.00"
"49.14","5.00"
"312.41","5.00"
"1.20","5.00"
"72.67","5.00"
"98.76","5.00"
"58.65","5.00"
"86.29","5.00"
"30.63","5.00"
"145.31","5.00"
"49.47","5.00"
"125.47","5.00"
"70.46","5.00"
"53.87","5.00"
"62.57","5.00"
"10.56","5.00"
"63.44","5.00"
"41.42","5.00"
"104.37","5.00"
"45.04","5.00"
"36.81","5.00"
"89.28","5.00"
"43.80","5.00"
"47.80","5.00"
"37.62","5.00"
"60.72","5.00"
"193.63","5.00"
"67.82","5.00"
"63.59","5.00"
"83.97","5.00"
"46.45","5.00"
"49.52","5.00"
"47.94","5.00"
"86.80","5.00"
"55.61","5.00"
"99.34","5.00"
"28.74","5.00"
"145.18","5.00"
"60.92","5.00"
"52.75","5.00"
"43.23","5.00"
"0.88","5.00"
"63.78","5.00"
"123.80","5.00"
"93.37","5.00"
"59.61","5.00"
"0.98","5.00"
"125.77","5.00"
"61.11","5.00"
"82.73","5.00"
"91.44","5.00"
"71.78","5.00"
"37.76","5.00"
"39.97","5.00"
"98.77","5.00"
"143.96","5.00"
"46.00","5.00"
"57.15","5.00"
"69.36","5.00"
"49.01","5.00"
"58.92","5.00"
"47.01","5.00"
"43.29","5.00"
"54.89","5.00"
"107.43","5.00"
"62.15","5.00"
"34.24","5.00"
"84.57","5.00"
"39.37","5.00"
"42.53","5.00"
"49.15","5.00"
"5.71","5.00"
"77.13","5.00"
"48.12","5.00"
"5.80","5.00"
"51.44","5.00"
"81.05","5.00"
"76.02","5.00"
"5.70","5.00"
"43.66","5.00"
"45.14","5.00"
"2.34","5.00"
"63.90","5.00"
"56.89","5.00"
"193.84","5.00"
"62.11","5.00"
"98.60","5.00"
"48.23","5.00"
"43.15","5.00"
"30.80","5.00"
"32.64","5.00"
"50.06","5.00"
"69.70","5.00"
"59.18","5.00"
"5.75","5.00"
"50.51","5.00"
"96.67","5.00"
"60.31","5.00"
"39.15","5.00"
"64.30","5.00"
"96.70","5.00"
"70.17","5.00"
"77.77","5.00"
"44.28","5.00"
"127.22","5.00"
"115.63","5.00"
"70.42","5.00"
"142.33","5.00"
"68.46","5.00"
"78.07","5.00"
"39.09","5.00"
"5.45","5.00"
"34.75","5.00"
"82.63","5.00"
"44.92","5.00"
"62.27","5.00"
"46.68","5.00"
"73.09","5.00"
"77.22","5.00"
"90.90","5.00"
"119.50","5.00"
"66.83","5.00"
"114.08","5.00"
"172.99","5.00"
"97.27","5.00"
"97.37","5.00"
"409.68","5.00"
